Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,serial_number,"3925437869",,time_created,"920300530",,manufacturer,"1",,garmin_product,"2337",,type,"4",,
Definition,1,file_creator,software_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"500",,,,,,,,,,,,,,
Definition,2,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,
Data,2,event,timestamp,"920300530",s,timer_trigger,"0",,event,"0",,event_type,"0",,event_group,"0",,
Definition,3,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,device_index,1,,source_type,1,,
Data,3,device_info,timestamp,"920300530",s,serial_number,"3925437869",,manufacturer,"1",,garmin_product,"2337",,software_version,"5.0",,device_index,"0",,source_type,"5",,
Definition,3,device_info,timestamp,1,,manufacturer,1,,product,1,,software_version,1,,device_index,1,,device_type,1,,source_type,1,,
Data,3,device_info,timestamp,"920300530",s,manufacturer,"1",,garmin_product,"2337",,software_version,"5.0",,device_index,"1",,device_type,"4",,source_type,"5",,
Data,3,device_info,timestamp,"920300530",s,manufacturer,"0",,product,"0",,software_version,"545.08",,device_index,"2",,device_type,"3",,source_type,"5",,
Data,3,device_info,timestamp,"920300530",s,software_version,"2.74",,device_index,"3",,device_type,"10",,source_type,"5",,,,,,,,
Data,3,device_info,timestamp,"920300530",s,manufacturer,"1",,garmin_product,"0",,software_version,"0.0",,device_index,"4",,device_type,"3",,source_type,"5",,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,4,unknown,unknown,"920300530",,unknown,"4",,unknown,"3",,,,,,,,,,,,,,
Definition,5,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,
Data,5,unknown,unknown,"920300530",,unknown,"920159983",,unknown,"920483983",,unknown,"1",,,,,,,,,,,
Definition,6,device_settings,utc_offset,1,,time_offset,1,,unknown,8,,auto_activity_detect,1,,unknown,4,,unknown,1,,autosync_min_steps,1,,autosync_min_time,1,,active_time_zone,1,,unknown,1,,time_mode,1,,time_zone_offset,1,,unknown,1,,unknown,1,,backlight_mode,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,activity_tracker_enabled,1,,move_alert_enabled,1,,date_mode,1,,unknown,1,,mounting_side,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,ble_auto_upload_enabled,1,,unknown,1,,unknown,1,,
Data,6,device_settings,utc_offset,"0",,time_offset,"0",s,unknown,"0|0|0|0|0|0|0|0",,auto_activity_detect,"1",,unknown,"255|255|1|0",,unknown,"0",,autosync_min_steps,"2000",steps,autosync_min_time,"240",minutes,active_time_zone,"0",,unknown,"2",,time_mode,"1",,time_zone_offset,"0.0",hr,unknown,"2",,unknown,"2",,backlight_mode,"3",,unknown,"10",,unknown,"40",,unknown,"50",,unknown,"1",,unknown,"0",,unknown,"254",,unknown,"0",,activity_tracker_enabled,"1",,move_alert_enabled,"0",,date_mode,"1",,unknown,"1",,mounting_side,"1",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"2",,unknown,"2",,unknown,"2",,unknown,"1",,unknown,"5",,unknown,"0",,ble_auto_upload_enabled,"1",,unknown,"1",,unknown,"1",,
Definition,7,user_profile,wake_time,1,,sleep_time,1,,weight,1,,user_running_step_length,1,,user_walking_step_length,1,,unknown,1,,gender,1,,height,1,,language,1,,elev_setting,1,,weight_setting,1,,resting_heart_rate,1,,hr_setting,1,,speed_setting,1,,dist_setting,1,,activity_class,1,,position_setting,1,,temperature_setting,1,,unknown,1,,height_setting,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,user_profile,wake_time,"28800",,sleep_time,"79200",,weight,"80.0",kg,user_running_step_length,"0.0",m,user_walking_step_length,"0.0",m,unknown,"441",,gender,"1",,height,"1.93",m,language,"0",,elev_setting,"0",,weight_setting,"0",,resting_heart_rate,"0",bpm,hr_setting,"1",,speed_setting,"0",,dist_setting,"0",,activity_class,"80",,position_setting,"2",,temperature_setting,"0",,unknown,"89",,height_setting,"0",,unknown,"0",,unknown,"3",,unknown,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,8,unknown,unknown,1,,unknown,5,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,unknown,unknown,"24648113",,unknown,"6577",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,9,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"920300530",,unknown,"15492",,unknown,"800",,unknown,"441",,unknown,"29",,unknown,"193",,unknown,"1",,unknown,"70",,unknown,"185",,unknown,"1",,unknown,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,10,sport,name,41,,unknown,1,,sport,1,,sub_sport,1,,unknown,1,,unknown,1,,unknown,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,sport,name,"Row|ki|oard|B� � |||B� D�| ",,unknown,"29",,sport,"15",,sub_sport,"0",,unknown,"1",,unknown,"0",,unknown,"0|170|255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,11,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,unknown,unknown,"50000",,unknown,"804672",,unknown,"0",,unknown,"1341",,unknown,"6706",,unknown,"6",,unknown,"0",,unknown,"3",,unknown,"0",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,12,zones_target,unknown,1,,hr_calc_type,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,12,zones_target,unknown,"0",,hr_calc_type,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"920300531",,unknown,"4",,unknown,"3",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,"920300534",s,manufacturer,"1",,garmin_product,"1619",,software_version,"3.3",,device_index,"5",,device_type,"0",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"920300534",,unknown,"5",,unknown,"5",,unknown,"4",,unknown,"3",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"920300541",,unknown,"4",,unknown,"3",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"920300542",,unknown,"5",,unknown,"5",,unknown,"4",,unknown,"3",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,speed,1,,unknown,1,,unknown,1,,heart_rate,1,,cadence,1,,fractional_cadence,1,,enhanced_speed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300740",s,position_lat,"617199170",semicircles,position_long,"-14809444",semicircles,distance,"0.0",m,speed,"0.699",m/s,unknown,"87",,unknown,"100",,heart_rate,"94",bpm,cadence,"48",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.699|0.699|0.699",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300741",s,position_lat,"617199530",semicircles,position_long,"-14809549",semicircles,distance,"3.41",m,speed,"0.977",m/s,unknown,"122",,unknown,"100",,heart_rate,"94",bpm,cadence,"48",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.977|0.977|0.977",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300742",s,position_lat,"617199937",semicircles,position_long,"-14809681",semicircles,distance,"7.28",m,speed,"1.294",m/s,unknown,"185",,unknown,"100",,heart_rate,"93",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"1.294|1.294|1.294",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300743",s,position_lat,"617200375",semicircles,position_long,"-14809839",semicircles,distance,"11.46",m,speed,"1.642",m/s,unknown,"253",,unknown,"100",,heart_rate,"93",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"1.642|1.642|1.642",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300744",s,position_lat,"617200815",semicircles,position_long,"-14809979",semicircles,distance,"15.65",m,speed,"1.987",m/s,unknown,"306",,unknown,"100",,heart_rate,"93",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"1.987|1.987|1.987",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300745",s,position_lat,"617201299",semicircles,position_long,"-14810166",semicircles,distance,"20.29",m,speed,"2.37",m/s,unknown,"355",,unknown,"100",,heart_rate,"92",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"2.37|2.37|2.37",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300746",s,position_lat,"617201798",semicircles,position_long,"-14810380",semicircles,distance,"25.1",m,speed,"2.764",m/s,unknown,"405",,unknown,"100",,heart_rate,"92",bpm,cadence,"41",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"2.764|2.764|2.764",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300747",s,position_lat,"617202300",semicircles,position_long,"-14810575",semicircles,distance,"29.92",m,speed,"3.152",m/s,unknown,"473",,unknown,"100",,heart_rate,"92",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"3.152|3.152|3.152",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300748",s,position_lat,"617202839",semicircles,position_long,"-14810796",semicircles,distance,"35.1",m,speed,"3.563",m/s,unknown,"534",,unknown,"100",,heart_rate,"91",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"3.563|3.563|3.563",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300749",s,position_lat,"617203381",semicircles,position_long,"-14811023",semicircles,distance,"40.32",m,speed,"3.924",m/s,unknown,"574",,unknown,"100",,heart_rate,"91",bpm,cadence,"41",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"3.924|3.924|3.924",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300750",s,position_lat,"617203893",semicircles,position_long,"-14811229",semicircles,distance,"45.25",m,speed,"4.217",m/s,unknown,"588",,unknown,"100",,heart_rate,"90",bpm,cadence,"43",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"4.217|4.217|4.217",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300751",s,position_lat,"617204432",semicircles,position_long,"-14811451",semicircles,distance,"50.43",m,speed,"4.467",m/s,unknown,"623",,unknown,"100",,heart_rate,"86",bpm,cadence,"43",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"4.467|4.467|4.467",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300752",s,position_lat,"617204993",semicircles,position_long,"-14811697",semicircles,distance,"55.86",m,speed,"4.656",m/s,unknown,"665",,unknown,"100",,heart_rate,"81",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"4.656|4.656|4.656",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300753",s,position_lat,"617205543",semicircles,position_long,"-14811936",semicircles,distance,"61.17",m,speed,"4.814",m/s,unknown,"688",,unknown,"100",,heart_rate,"80",bpm,cadence,"42",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"4.814|4.814|4.814",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300754",s,position_lat,"617206078",semicircles,position_long,"-14812175",semicircles,distance,"66.35",m,speed,"4.923",m/s,unknown,"798",,unknown,"100",,heart_rate,"80",bpm,cadence,"37",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"4.923|4.923|4.923",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300755",s,position_lat,"617206628",semicircles,position_long,"-14812409",semicircles,distance,"71.65",m,speed,"5.016",m/s,unknown,"813",,unknown,"100",,heart_rate,"82",bpm,cadence,"37",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.016|5.016|5.016",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300756",s,position_lat,"617207176",semicircles,position_long,"-14812639",semicircles,distance,"76.93",m,speed,"5.108",m/s,unknown,"901",,unknown,"100",,heart_rate,"82",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.108|5.108|5.108",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300757",s,position_lat,"617207724",semicircles,position_long,"-14812856",semicircles,distance,"82.2",m,speed,"5.159",m/s,unknown,"910",,unknown,"100",,heart_rate,"82",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.159|5.159|5.159",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300758",s,position_lat,"617208281",semicircles,position_long,"-14813074",semicircles,distance,"87.55",m,speed,"5.204",m/s,unknown,"918",,unknown,"100",,heart_rate,"86",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.204|5.204|5.204",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300759",s,position_lat,"617208853",semicircles,position_long,"-14813286",semicircles,distance,"93.01",m,speed,"5.258",m/s,unknown,"928",,unknown,"100",,heart_rate,"86",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.258|5.258|5.258",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300760",s,position_lat,"617209424",semicircles,position_long,"-14813464",semicircles,distance,"98.44",m,speed,"5.278",m/s,unknown,"905",,unknown,"100",,heart_rate,"87",bpm,cadence,"35",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.278|5.278|5.278",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300761",s,position_lat,"617209990",semicircles,position_long,"-14813664",semicircles,distance,"103.84",m,speed,"5.294",m/s,unknown,"907",,unknown,"100",,heart_rate,"88",bpm,cadence,"35",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.294|5.294|5.294",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300762",s,position_lat,"617210562",semicircles,position_long,"-14813893",semicircles,distance,"109.34",m,speed,"5.342",m/s,unknown,"801",,unknown,"100",,heart_rate,"89",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.342|5.342|5.342",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300763",s,position_lat,"617211113",semicircles,position_long,"-14814118",semicircles,distance,"114.64",m,speed,"5.351",m/s,unknown,"803",,unknown,"100",,heart_rate,"91",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.351|5.351|5.351",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
